22670094,2770,3246,1080,1476
22614266,344,652,1324,1545
24055355,530,1106,1342,1773
20587664,2389,2751,853,1138
53582683,103,779,1485,2325
50994895,2007,2229,1307,1542
53582656,69,838,1225,2084
22580520,74,849,681,1285
30011553,124,294,1754,1968
22670278,1879,2097,1078,1314
20586986,51,478,2311,2612
20586934,55,393,1962,2249
24065289,310,802,1738,2368
22580038,707,1013,1709,2100
50999008,2245,2482,1138,1442
22679008,2399,2526,2010,2244
22427751,682,961,1185,1446
24055483,407,595,1861,2045
24065707,2964,3206,1482,1746
24055445,66,249,2566,2749
50994841,1741,1949,1414,1621
22613822,2328,2829,950,1883
24055600,2419,2911,2556,2943
30011507,110,259,2137,2306
22579916,722,909,1537,1729
24065584,0,402,1891,2646
22580706,2212,3120,2936,3570
22670855,2604,2978,1803,2080
50994273,2187,2424,328,566
20588046,1957,2250,2142,2394
24055149,328,693,1372,1751
24065761,3074,3292,999,1216
22678953,2708,2909,951,1209
22579730,1639,2061,929,1370
22579730,2092,2234,881,1035
53581406,1745,1892,1665,1803
53581460,1883,2082,824,1015
22579870,285,495,1642,1796
30011674,563,859,959,1277
53580858,153,467,1660,1975
27829134,2556,3036,1931,2505
22670511,264,732,1614,2272
22670511,304,737,965,1541
24065461,2250,3150,1824,2638
30318067,623,914,1378,1678
20588190,76,291,841,1110
53580804,150,540,2370,2714
24055654,2286,2857,2032,2464
22613650,2,534,1396,2030
24065407,2073,2764,1869,2431
22614379,29,580,2488,2929
20588536,183,868,447,1100
24058738,611,860,2296,2511
24058738,465,562,2274,2341
24065251,615,1096,1003,1662
20587054,1949,2171,1168,1312
24058686,635,959,2592,3004
24058686,503,594,3100,3173
20588216,90,289,1467,1728
30011824,118,413,723,1083
22670147,2416,2840,1211,1530
22614074,1960,2349,1492,1890
50994354,2223,2466,820,1080
22613702,374,995,1303,1842
22670465,196,654,673,1262
22670465,91,521,1852,2415
22613770,2194,2954,1197,1623
22613770,2853,3025,1021,1190
24055203,29,467,1732,2093
22614127,1973,2418,1710,2104
30011727,836,1130,1522,1739
22427840,1969,2424,871,1313
22427840,2344,2490,688,808
22580098,598,925,2267,2579
22670324,1571,1767,1243,1520
20587994,1861,2259,1887,2222
50999432,989,1390,1791,2210
20587080,1953,2176,1951,2107
22614431,5,361,2448,2926
24055274,369,1012,1577,2040
50998981,2052,2283,1053,1411
22670809,3027,3303,2541,2803
22580576,317,1082,824,1591
27829188,2285,2712,1687,2241
22614236,152,488,1529,1814
20588562,37,690,895,1489
24065530,72,858,1848,2645
50999459,872,1295,1604,2017
22580654,2326,3329,1763,2750
22427705,23,266,1586,1843
20587612,2738,3059,522,785
